
---------- Begin Simulation Statistics ----------
simSeconds                                   2.185681                       # Number of seconds simulated (Second)
simTicks                                 2185681370000                       # Number of ticks simulated (Tick)
finalTick                                2185681370000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   3295.63                       # Real time elapsed on the host (Second)
hostTickRate                                663205050                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     724960                       # Number of bytes of host memory used (Byte)
simInsts                                    904903177                       # Number of instructions simulated (Count)
simOps                                     1543817141                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   274576                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     468443                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                       2185681371                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.415376                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.414014                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      2312313861                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                 44443000                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1878883991                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                5802794                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            812939706                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined        2218064312                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved            24972598                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          2185654933                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.859643                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.400131                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                1402337259     64.16%     64.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                 218927154     10.02%     74.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 255719441     11.70%     85.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                 173049648      7.92%     93.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  91068502      4.17%     97.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  25098649      1.15%     99.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   5728678      0.26%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   4575126      0.21%     99.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   9150476      0.42%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            2185654933                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  260025      2.99%      2.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.99% # attempts to use FU when none available (Count)
